City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,portel,-1.9356,-50.8211,37.09,33,6,2.4,BR,1697045294
311,kodiak,57.79,-152.4072,-0.27,74,40,3.09,US,1697045294
312,susanville,40.4163,-120.653,11.57,62,40,3.09,US,1697045294
313,cadale,2.7603,46.3222,26.84,81,84,4.86,SO,1697045123
314,egilsstadir,65.2653,-14.3948,1.95,69,75,6.17,IS,1697045294
315,saint-joseph,-21.3667,55.6167,23.21,78,66,0.82,RE,1697045294
316,pickering,43.9001,-79.1329,13.13,69,75,4.12,CA,1697045295
317,xinyuan,37.3,99.0,-2.1,97,100,1.85,CN,1697045295
318,dzerzhinskoye,56.8344,95.2283,12.64,49,65,4.03,RU,1697045295
319,yoakum,29.2878,-97.1519,21.08,83,100,4.32,US,1697045295
320,amos,48.5669,-78.1162,4.86,94,100,0.52,CA,1697045248
321,essaouira,31.5125,-9.77,27.72,57,0,3.09,MA,1697045296
322,coquimbo,-29.9533,-71.3436,17.85,59,0,6.69,CL,1697045296
323,chegdomyn,51.1167,133.0167,6.29,77,89,0.45,RU,1697045296
324,meadow lake,34.8014,-106.5436,23.56,33,0,5.6,US,1697045296
325,turkmenbasy,40.0222,52.9552,14.43,62,100,7.2,TM,1697045296
326,taoudenni,22.6783,-3.9836,36.56,9,0,4.6,ML,1697045297
327,nyurba,63.2842,118.3319,9.46,72,95,5.81,RU,1697045297
328,barra de santo antonio,-9.4047,-35.5072,28.6,61,4,4.18,BR,1697045297
329,arkhangel'sk,64.5401,40.5433,0.07,91,100,5.31,RU,1697045298
330,kapa'a,22.0752,-159.319,22.99,80,20,3.09,US,1697045298
331,hola,51.5377,23.1902,16.1,68,100,6.52,PL,1697045298
332,khanbari,27.3747,87.2039,18.12,90,20,1.34,NP,1697045298
333,namibe,-15.1961,12.1522,19.72,85,90,5.66,AO,1697045029
334,gobabis,-22.45,18.9667,25.47,35,99,5.22,NA,1697045299
335,mitu,1.1983,-70.1733,32.82,49,64,1.29,CO,1697045299
336,lompoc,34.6391,-120.4579,23.21,55,20,8.75,US,1697045299
337,nagqu,31.5,92.0,-1.53,56,97,2.0,CN,1697045299
338,prairie du chien,43.0517,-91.1412,15.05,41,0,0.0,US,1697045299
339,portland,45.5234,-122.6762,13.68,94,100,4.92,US,1697045056
340,nuku'alofa,-21.1333,-175.2,16.19,94,75,1.54,TO,1697045300
341,ulanhot,46.0833,122.0833,12.1,48,12,1.32,CN,1697045300
342,gamonal,39.9607,-4.9618,26.37,27,57,0.36,ES,1697045301
343,zyryanovsk,49.7386,84.2719,11.93,51,17,1.03,KZ,1697045301
344,ghat,24.9647,10.1728,28.84,20,14,5.94,LY,1697045301
345,tingi,-11.3,35.0333,23.06,38,94,2.79,TZ,1697045301
346,ruteng,-8.6136,120.4721,16.44,91,96,0.36,ID,1697045301
347,zimovniki,47.1483,42.4633,5.53,50,27,3.13,RU,1697045302
348,horta,38.5333,-28.6333,22.8,76,40,6.17,PT,1697045302
349,port saint john's,-31.6229,29.5448,20.27,91,100,4.51,ZA,1697045302
350,aykhal,66.0,111.5,1.71,71,11,11.62,RU,1697045302
351,kiunga,-6.1219,141.2906,22.75,100,100,0.62,PG,1697045302
